message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:09.000000000Z
🚂 Обнаружена Railway среда - настройка ограничений ресурсов,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:11.174909686Z
🔍 Запущен мониторинг ресурсов для Railway,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:11.174914953Z
Flask сервер запущен на порту 8080,"{""function"":""main"",""level"":""info"",""line"":972,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:11:10.700669Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:11.174919485Z
 * Serving Flask app 'telegram_bot',"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:11.174923245Z
 * Debug mode: off,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:11.174927252Z
Запуск Telegram бота...,"{""function"":""main"",""level"":""info"",""line"":979,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:11:12.886216Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:12.951865741Z
Запуск Telegram бота...,"{""function"":""run"",""level"":""info"",""line"":915,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:11:12.886378Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:12.951876348Z
Запуск в режиме polling,"{""function"":""run"",""level"":""info"",""line"":952,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:11:12.886440Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:12.951882859Z
🧹 Запущена задача периодической очистки ресурсов,"{""function"":""post_init"",""level"":""info"",""line"":933,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:11:12.931420Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""9429fb77-b6d8-4872-a13e-abc82ebedc88"",""replica"":""e1d0b554-079e-40d9-85a6-22574456d0fb""}",2025-09-19T13:11:12.951889881Z
