message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:40.000000000Z
🚂 Обнаружена Railway среда - настройка ограничений ресурсов,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:42.774699207Z
🔍 Запущен мониторинг ресурсов для Railway,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:42.774705819Z
Flask сервер запущен на порту 8080,"{""function"":""main"",""level"":""info"",""line"":972,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:28:41.992403Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:42.774711586Z
 * Serving Flask app 'telegram_bot',"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:42.774717443Z
 * Debug mode: off,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:42.774723725Z
Запуск Telegram бота...,"{""function"":""main"",""level"":""info"",""line"":979,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:28:44.154593Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:44.160066557Z
Запуск Telegram бота...,"{""function"":""run"",""level"":""info"",""line"":915,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:28:44.154721Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:44.160074504Z
Запуск в режиме polling,"{""function"":""run"",""level"":""info"",""line"":952,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:28:44.154764Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:44.160084176Z
🧹 Запущена задача периодической очистки ресурсов,"{""function"":""post_init"",""level"":""info"",""line"":933,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:28:44.201429Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""ea6c9e51-e9a0-4215-a202-c88c862ffcab"",""replica"":""4983c025-cd7e-4f4c-8af2-3689a40e795f""}",2025-09-19T13:28:44.203503917Z
