message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:06.000000000Z
🚂 Обнаружена Railway среда - настройка ограничений ресурсов,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:08.068605154Z
🔍 Запущен мониторинг ресурсов для Railway,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:08.068609259Z
Flask сервер запущен на порту 8080,"{""function"":""main"",""level"":""info"",""line"":972,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:32:07.456181Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:08.068613774Z
 * Serving Flask app 'telegram_bot',"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:08.068619704Z
 * Debug mode: off,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:08.068625321Z
Запуск Telegram бота...,"{""function"":""main"",""level"":""info"",""line"":979,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:32:09.649767Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:09.655031062Z
Запуск Telegram бота...,"{""function"":""run"",""level"":""info"",""line"":915,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:32:09.649955Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:09.655035554Z
Запуск в режиме polling,"{""function"":""run"",""level"":""info"",""line"":952,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:32:09.650034Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:09.655039831Z
🧹 Запущена задача периодической очистки ресурсов,"{""function"":""post_init"",""level"":""info"",""line"":933,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:32:09.838716Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""79c16b8e-26ee-4b56-975c-107d27988ca8"",""replica"":""c39e2d49-2164-44c8-9cfe-b4d6b4faad42""}",2025-09-19T12:32:09.857368749Z
