message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:05.000000000Z
🚂 Обнаружена Railway среда - настройка ограничений ресурсов,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:06.497191113Z
🔍 Запущен мониторинг ресурсов для Railway,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:06.497197441Z
Flask сервер запущен на порту 8080,"{""function"":""main"",""level"":""info"",""line"":972,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:14:06.342310Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:06.497203822Z
 * Serving Flask app 'telegram_bot',"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:06.497212237Z
 * Debug mode: off,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:06.497218488Z
Запуск Telegram бота...,"{""function"":""main"",""level"":""info"",""line"":979,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:14:08.505752Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:08.508710718Z
Запуск Telegram бота...,"{""function"":""run"",""level"":""info"",""line"":915,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:14:08.505865Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:08.508718803Z
Запуск в режиме polling,"{""function"":""run"",""level"":""info"",""line"":952,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:14:08.505928Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:08.508725157Z
🧹 Запущена задача периодической очистки ресурсов,"{""function"":""post_init"",""level"":""info"",""line"":933,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T12:14:08.543356Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:14:08.544159163Z
User activity: iilluummiinnaattoorr uploaded Catalog_for_Seller_2V1DJW-6751N.xlsx with 9819 EANs,"{""function"":""log_user_activity"",""level"":""info"",""line"":118,""logger"":""bot_activity"",""module"":""structured_logging"",""timestamp"":""2025-09-19T12:18:54.647800Z"",""user_id"":""6755735414""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:18:58.646745083Z
🕐 Таймер запущен для пользователя 6755735414,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:19:03.672045573Z
Начинаем обработку файла поставщика: temp_files/6755735414/Catalog_for_Seller_2V1DJW-6751N.xlsx,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:19:03.672055421Z
Извлекаем EAN коды и обрабатываем через TradeWatch...,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:19:03.672061735Z
🔄 ПЕРЕНАПРАВЛЕНИЕ НА НОВУЮ ВЕРСИЮ С ОДНИМ БРАУЗЕРОМ И ВКЛАДКАМИ...,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:19:03.672067492Z
🔧 Настройки: headless=True,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""4e66a958-c709-4d5e-a5ca-18f5c9909792"",""replica"":""b3877714-2231-4bc1-898d-1dad592411df""}",2025-09-19T12:19:03.672074418Z
