message,attributes,tags,timestamp
   🖥️  CPU: 32.4% загрузка,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015700079Z
#5 0x55d55a0ca3c6 <unknown>,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015707164Z
   💿 Диск: 797316MB свободно,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015713017Z
#14 0x55d55a55f80f <unknown>,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015717103Z
#6 0x55d55a0c9a96 <unknown>,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015717650Z
   💀 Дополнительно убит процесс 162,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015717752Z
   🌐 Chrome процессов: 204,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015723254Z
   💀 Дополнительно убит процесс 208,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015725751Z
🏁 НЕЗАВИСИМЫЙ БРАУЗЕР 7: Освободил слот для следующего браузера,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015725902Z
#7 0x55d55a0bbe43 <unknown>,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015726933Z
#15 0x55d55a5bc4c8 <unknown>,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015728977Z
      PID 98: chrome_crashpad (0MB),"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015733586Z
,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""eefdc550-b7a2-47f5-a368-41e0de1b3ce8"",""replica"":""363ec0d9-31d4-42dd-82fa-515675742517""}",2025-09-19T14:04:21.015734112Z
