message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:25.000000000Z
🚂 Обнаружена Railway среда - настройка ограничений ресурсов,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:27.305552535Z
🔍 Запущен мониторинг ресурсов для Railway,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:27.305557737Z
Flask сервер запущен на порту 8080,"{""function"":""main"",""level"":""info"",""line"":972,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:21:26.356305Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:27.305563249Z
 * Serving Flask app 'telegram_bot',"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:27.305569469Z
 * Debug mode: off,"{""level"":""info""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:27.305576253Z
Запуск Telegram бота...,"{""function"":""main"",""level"":""info"",""line"":979,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:21:28.494129Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:28.497431425Z
Запуск Telegram бота...,"{""function"":""run"",""level"":""info"",""line"":915,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:21:28.494253Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:28.497440343Z
Запуск в режиме polling,"{""function"":""run"",""level"":""info"",""line"":952,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:21:28.494300Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:28.497446455Z
🧹 Запущена задача периодической очистки ресурсов,"{""function"":""post_init"",""level"":""info"",""line"":933,""logger"":""__main__"",""module"":""telegram_bot"",""timestamp"":""2025-09-19T13:21:28.531933Z""}","{""project"":""6e8b378f-f6e4-4c38-a37a-442cc34c18c6"",""environment"":""1085ec41-076e-41dc-8ca1-46972be5914d"",""service"":""043ced54-9657-47dd-a92a-a667796184ef"",""deployment"":""cc029e3b-0006-4077-b37f-24db60961eab"",""replica"":""016f32b7-4f15-46fc-aef2-f3d764fb0c4c""}",2025-09-19T13:21:28.535300008Z
